localfile	test	errors
00000019.tmp	Test0	0
00000019.tmp	Test1	0
00000019.tmp	Test2	0
00000019.tmp	Test3	0
00000019.tmp	Test4	0
00000020.tmp	Test0	0
00000020.tmp	Test1	9
00000020.tmp	Test2	5
00000020.tmp	Test3	1
00000020.tmp	Test4	10
00000021.tmp	Test0	0
00000021.tmp	Test1	17
00000021.tmp	Test2	14
00000021.tmp	Test3	11
00000021.tmp	Test4	8
00000022.tmp	Test0	0
00000022.tmp	Test1	2
00000022.tmp	Test2	4
00000022.tmp	Test3	6
00000022.tmp	Test4	8
00000023.tmp	Test0	0
00000023.tmp	Test1	3
00000023.tmp	Test2	6
00000023.tmp	Test3	9
00000023.tmp	Test4	12
00000024.tmp	Test0	0
00000024.tmp	Test1	0
00000024.tmp	Test2	0
00000024.tmp	Test3	0
00000024.tmp	Test4	0
00000025.tmp	Test0	0
00000025.tmp	Test1	25
00000025.tmp	Test2	22
00000025.tmp	Test3	19
00000025.tmp	Test4	16
00000026.tmp	Test0	0
00000026.tmp	Test1	1
00000026.tmp	Test2	2
00000026.tmp	Test3	3
00000026.tmp	Test4	4
00000027.tmp	Test0	0
00000027.tmp	Test1	15
00000027.tmp	Test2	8
00000027.tmp	Test3	1
00000027.tmp	Test4	16
00000028.tmp	Test0	0
00000028.tmp	Test1	7
00000028.tmp	Test2	6
00000028.tmp	Test3	5
00000028.tmp	Test4	4
00000029.tmp	Test0	0
00000029.tmp	Test1	12
00000029.tmp	Test2	7
00000029.tmp	Test3	2
00000029.tmp	Test4	14
00000030.tmp	Test0	0
00000030.tmp	Test1	0
00000030.tmp	Test2	0
00000030.tmp	Test3	0
00000030.tmp	Test4	0
00000031.tmp	Test0	0
00000031.tmp	Test1	1
00000031.tmp	Test2	2
00000031.tmp	Test3	3
00000031.tmp	Test4	4
00000032.tmp	Test0	0
00000032.tmp	Test1	11
00000032.tmp	Test2	1
00000032.tmp	Test3	12
00000032.tmp	Test4	2
00000033.tmp	Test0	0
00000033.tmp	Test1	8
00000033.tmp	Test2	16
00000033.tmp	Test3	7
00000033.tmp	Test4	15
00000034.tmp	Test0	0
00000034.tmp	Test1	11
00000034.tmp	Test2	22
00000034.tmp	Test3	8
00000034.tmp	Test4	19
00000035.tmp	Test0	0
00000035.tmp	Test1	2
00000035.tmp	Test2	4
00000035.tmp	Test3	6
00000035.tmp	Test4	8
00000036.tmp	Test0	0
00000036.tmp	Test1	4
00000036.tmp	Test2	8
00000036.tmp	Test3	1
00000036.tmp	Test4	5
00000037.tmp	Test0	0
00000037.tmp	Test1	12
00000037.tmp	Test2	6
00000037.tmp	Test3	0
00000037.tmp	Test4	12
00000038.tmp	Test0	0
00000038.tmp	Test1	4
00000038.tmp	Test2	0
00000038.tmp	Test3	4
00000038.tmp	Test4	0
00000039.tmp	Test0	0
00000039.tmp	Test1	9
00000039.tmp	Test2	18
00000039.tmp	Test3	2
00000039.tmp	Test4	11
00000040.tmp	Test0	0
00000040.tmp	Test1	1
00000040.tmp	Test2	2
00000040.tmp	Test3	3
00000040.tmp	Test4	4
00000041.tmp	Test0	0
00000041.tmp	Test1	2
00000041.tmp	Test2	4
00000041.tmp	Test3	6
00000041.tmp	Test4	8
00000042.tmp	Test0	0
00000042.tmp	Test1	0
00000042.tmp	Test2	0
00000042.tmp	Test3	0
00000042.tmp	Test4	0
00000043.tmp	Test0	0
00000043.tmp	Test1	2
00000043.tmp	Test2	0
00000043.tmp	Test3	2
00000043.tmp	Test4	0
00000044.tmp	Test0	0
00000044.tmp	Test1	0
00000044.tmp	Test2	0
00000044.tmp	Test3	0
00000044.tmp	Test4	0
00000045.tmp	Test0	0
00000045.tmp	Test1	2
00000045.tmp	Test2	4
00000045.tmp	Test3	0
00000045.tmp	Test4	2
00000046.tmp	Test0	0
00000046.tmp	Test1	7
00000046.tmp	Test2	0
00000046.tmp	Test3	7
00000046.tmp	Test4	0
00000047.tmp	Test0	0
00000047.tmp	Test1	1
00000047.tmp	Test2	0
00000047.tmp	Test3	1
00000047.tmp	Test4	0
00000048.tmp	Test0	0
00000048.tmp	Test1	2
00000048.tmp	Test2	4
00000048.tmp	Test3	6
00000048.tmp	Test4	1
00000049.tmp	Test0	0
00000049.tmp	Test1	8
00000049.tmp	Test2	1
00000049.tmp	Test3	9
00000049.tmp	Test4	2
00000050.tmp	Test0	0
00000050.tmp	Test1	4
00000050.tmp	Test2	8
00000050.tmp	Test3	12
00000050.tmp	Test4	16
00000051.tmp	Test0	0
00000051.tmp	Test1	1
00000051.tmp	Test2	2
00000051.tmp	Test3	3
00000051.tmp	Test4	4
00000052.tmp	Test0	0
00000052.tmp	Test1	9
00000052.tmp	Test2	18
00000052.tmp	Test3	6
00000052.tmp	Test4	15
00000053.tmp	Test0	0
00000053.tmp	Test1	5
00000053.tmp	Test2	3
00000053.tmp	Test3	1
00000053.tmp	Test4	6
00000054.tmp	Test0	0
00000054.tmp	Test1	3
00000054.tmp	Test2	6
00000054.tmp	Test3	9
00000054.tmp	Test4	12
00000055.tmp	Test0	0
00000055.tmp	Test1	7
00000055.tmp	Test2	2
00000055.tmp	Test3	9
00000055.tmp	Test4	4
00000056.tmp	Test0	0
00000056.tmp	Test1	3
00000056.tmp	Test2	6
00000056.tmp	Test3	9
00000056.tmp	Test4	12
00000057.tmp	Test0	0
00000057.tmp	Test1	13
00000057.tmp	Test2	26
00000057.tmp	Test3	11
00000057.tmp	Test4	24
00000058.tmp	Test0	0
00000058.tmp	Test1	15
00000058.tmp	Test2	5
00000058.tmp	Test3	20
00000058.tmp	Test4	10
00000059.tmp	Test0	0
00000059.tmp	Test1	16
00000059.tmp	Test2	10
00000059.tmp	Test3	4
00000059.tmp	Test4	20
00000060.tmp	Test0	0
00000060.tmp	Test1	0
00000060.tmp	Test2	0
00000060.tmp	Test3	0
00000060.tmp	Test4	0
00000061.tmp	Test0	0
00000061.tmp	Test1	16
00000061.tmp	Test2	8
00000061.tmp	Test3	0
00000061.tmp	Test4	16
00000062.tmp	Test0	0
00000062.tmp	Test1	5
00000062.tmp	Test2	4
00000062.tmp	Test3	3
00000062.tmp	Test4	2
00000063.tmp	Test0	0
00000063.tmp	Test1	15
00000063.tmp	Test2	9
00000063.tmp	Test3	3
00000063.tmp	Test4	18
00000064.tmp	Test0	0
00000064.tmp	Test1	1
00000064.tmp	Test2	2
00000064.tmp	Test3	3
00000064.tmp	Test4	4
00000065.tmp	Test0	0
00000065.tmp	Test1	5
00000065.tmp	Test2	10
00000065.tmp	Test3	2
00000065.tmp	Test4	7
00000066.tmp	Test0	0
00000066.tmp	Test1	3
00000066.tmp	Test2	6
00000066.tmp	Test3	9
00000066.tmp	Test4	12
00000067.tmp	Test0	0
00000067.tmp	Test1	7
00000067.tmp	Test2	4
00000067.tmp	Test3	1
00000067.tmp	Test4	8
00000068.tmp	Test0	0
00000068.tmp	Test1	0
00000068.tmp	Test2	0
00000068.tmp	Test3	0
00000068.tmp	Test4	0
00000069.tmp	Test0	0
00000069.tmp	Test1	27
00000069.tmp	Test2	26
00000069.tmp	Test3	25
00000069.tmp	Test4	24
00000070.tmp	Test0	0
00000070.tmp	Test1	0
00000070.tmp	Test2	0
00000070.tmp	Test3	0
00000070.tmp	Test4	0
00000071.tmp	Test0	0
00000071.tmp	Test1	0
00000071.tmp	Test2	0
00000071.tmp	Test3	0
00000071.tmp	Test4	0
00000072.tmp	Test0	0
00000072.tmp	Test1	8
00000072.tmp	Test2	16
00000072.tmp	Test3	4
00000072.tmp	Test4	12
00000073.tmp	Test0	0
00000073.tmp	Test1	1
00000073.tmp	Test2	2
00000073.tmp	Test3	3
00000073.tmp	Test4	4
00000074.tmp	Test0	0
00000074.tmp	Test1	5
00000074.tmp	Test2	4
00000074.tmp	Test3	3
00000074.tmp	Test4	2
00000075.tmp	Test0	0
00000075.tmp	Test1	17
00000075.tmp	Test2	12
00000075.tmp	Test3	7
00000075.tmp	Test4	2
00000076.tmp	Test0	0
00000076.tmp	Test1	5
00000076.tmp	Test2	10
00000076.tmp	Test3	4
00000076.tmp	Test4	9
00000077.tmp	Test0	0
00000077.tmp	Test1	14
00000077.tmp	Test2	3
00000077.tmp	Test3	17
00000077.tmp	Test4	6
00000078.tmp	Test0	0
00000078.tmp	Test1	20
00000078.tmp	Test2	15
00000078.tmp	Test3	10
00000078.tmp	Test4	5
00000079.tmp	Test0	0
00000079.tmp	Test1	0
00000079.tmp	Test2	0
00000079.tmp	Test3	0
00000079.tmp	Test4	0
00000080.tmp	Test0	0
00000080.tmp	Test1	15
00000080.tmp	Test2	5
00000080.tmp	Test3	20
00000080.tmp	Test4	10
00000081.tmp	Test0	0
00000081.tmp	Test1	4
00000081.tmp	Test2	8
00000081.tmp	Test3	1
00000081.tmp	Test4	5
00000082.tmp	Test0	0
00000082.tmp	Test1	3
00000082.tmp	Test2	6
00000082.tmp	Test3	9
00000082.tmp	Test4	0
00000083.tmp	Test0	0
00000083.tmp	Test1	1
00000083.tmp	Test2	2
00000083.tmp	Test3	3
00000083.tmp	Test4	0
00000084.tmp	Test0	0
00000084.tmp	Test1	11
00000084.tmp	Test2	5
00000084.tmp	Test3	16
00000084.tmp	Test4	10
00000085.tmp	Test0	0
00000085.tmp	Test1	0
00000085.tmp	Test2	0
00000085.tmp	Test3	0
00000085.tmp	Test4	0
00000086.tmp	Test0	0
00000086.tmp	Test1	0
00000086.tmp	Test2	0
00000086.tmp	Test3	0
00000086.tmp	Test4	0
00000087.tmp	Test0	0
00000087.tmp	Test1	1
00000087.tmp	Test2	2
00000087.tmp	Test3	3
00000087.tmp	Test4	4
00000088.tmp	Test0	0
00000088.tmp	Test1	0
00000088.tmp	Test2	0
00000088.tmp	Test3	0
00000088.tmp	Test4	0
00000089.tmp	Test0	0
00000089.tmp	Test1	3
00000089.tmp	Test2	1
00000089.tmp	Test3	4
00000089.tmp	Test4	2
00000090.tmp	Test0	0
00000090.tmp	Test1	1
00000090.tmp	Test2	2
00000090.tmp	Test3	3
00000090.tmp	Test4	4
00000091.tmp	Test0	0
00000091.tmp	Test1	3
00000091.tmp	Test2	6
00000091.tmp	Test3	9
00000091.tmp	Test4	0
00000092.tmp	Test0	0
00000092.tmp	Test1	4
00000092.tmp	Test2	8
00000092.tmp	Test3	3
00000092.tmp	Test4	7
00000093.tmp	Test0	0
00000093.tmp	Test1	3
00000093.tmp	Test2	2
00000093.tmp	Test3	1
00000093.tmp	Test4	0
00000094.tmp	Test0	0
00000094.tmp	Test1	0
00000094.tmp	Test2	0
00000094.tmp	Test3	0
00000094.tmp	Test4	0
00000095.tmp	Test0	0
00000095.tmp	Test1	3
00000095.tmp	Test2	6
00000095.tmp	Test3	9
00000095.tmp	Test4	12
00000096.tmp	Test0	0
00000096.tmp	Test1	1
00000096.tmp	Test2	2
00000096.tmp	Test3	0
00000096.tmp	Test4	1
00000097.tmp	Test0	0
00000097.tmp	Test1	19
00000097.tmp	Test2	10
00000097.tmp	Test3	1
00000097.tmp	Test4	20
00000098.tmp	Test0	0
00000098.tmp	Test1	12
00000098.tmp	Test2	6
00000098.tmp	Test3	0
00000098.tmp	Test4	12
00000099.tmp	Test0	0
00000099.tmp	Test1	9
00000099.tmp	Test2	18
00000099.tmp	Test3	7
00000099.tmp	Test4	16
00000100.tmp	Test0	0
00000100.tmp	Test1	8
00000100.tmp	Test2	0
00000100.tmp	Test3	8
00000100.tmp	Test4	0
00000101.tmp	Test0	0
00000101.tmp	Test1	3
00000101.tmp	Test2	2
00000101.tmp	Test3	1
00000101.tmp	Test4	0
00000102.tmp	Test0	0
00000102.tmp	Test1	11
00000102.tmp	Test2	8
00000102.tmp	Test3	5
00000102.tmp	Test4	2
00000103.tmp	Test0	0
00000103.tmp	Test1	22
00000103.tmp	Test2	17
00000103.tmp	Test3	12
00000103.tmp	Test4	7
00000104.tmp	Test0	0
00000104.tmp	Test1	1
00000104.tmp	Test2	2
00000104.tmp	Test3	3
00000104.tmp	Test4	4
00000105.tmp	Test0	0
00000105.tmp	Test1	9
00000105.tmp	Test2	18
00000105.tmp	Test3	1
00000105.tmp	Test4	10
00000106.tmp	Test0	0
00000106.tmp	Test1	9
00000106.tmp	Test2	2
00000106.tmp	Test3	11
00000106.tmp	Test4	4
00000107.tmp	Test0	0
00000107.tmp	Test1	4
00000107.tmp	Test2	0
00000107.tmp	Test3	4
00000107.tmp	Test4	0
00000108.tmp	Test0	0
00000108.tmp	Test1	0
00000108.tmp	Test2	0
00000108.tmp	Test3	0
00000108.tmp	Test4	0
00000109.tmp	Test0	0
00000109.tmp	Test1	0
00000109.tmp	Test2	0
00000109.tmp	Test3	0
00000109.tmp	Test4	0
00000110.tmp	Test0	0
00000110.tmp	Test1	17
00000110.tmp	Test2	11
00000110.tmp	Test3	5
00000110.tmp	Test4	22
00000111.tmp	Test0	0
00000111.tmp	Test1	0
00000111.tmp	Test2	0
00000111.tmp	Test3	0
00000111.tmp	Test4	0
00000112.tmp	Test0	0
00000112.tmp	Test1	2
00000112.tmp	Test2	0
00000112.tmp	Test3	2
00000112.tmp	Test4	0
00000113.tmp	Test0	0
00000113.tmp	Test1	19
00000113.tmp	Test2	16
00000113.tmp	Test3	13
00000113.tmp	Test4	10
00000114.tmp	Test0	0
00000114.tmp	Test1	1
00000114.tmp	Test2	2
00000114.tmp	Test3	3
00000114.tmp	Test4	4
00000115.tmp	Test0	0
00000115.tmp	Test1	16
00000115.tmp	Test2	6
00000115.tmp	Test3	22
00000115.tmp	Test4	12
00000116.tmp	Test0	0
00000116.tmp	Test1	2
00000116.tmp	Test2	4
00000116.tmp	Test3	1
00000116.tmp	Test4	3
00000117.tmp	Test0	0
00000117.tmp	Test1	3
00000117.tmp	Test2	6
00000117.tmp	Test3	9
00000117.tmp	Test4	2
00000118.tmp	Test0	0
00000118.tmp	Test1	14
00000118.tmp	Test2	2
00000118.tmp	Test3	16
00000118.tmp	Test4	4
00000119.tmp	Test0	0
00000119.tmp	Test1	18
00000119.tmp	Test2	16
00000119.tmp	Test3	14
00000119.tmp	Test4	12
00000120.tmp	Test0	0
00000120.tmp	Test1	0
00000120.tmp	Test2	0
00000120.tmp	Test3	0
00000120.tmp	Test4	0
00000121.tmp	Test0	0
00000121.tmp	Test1	2
00000121.tmp	Test2	4
00000121.tmp	Test3	6
00000121.tmp	Test4	0
00000122.tmp	Test0	0
00000122.tmp	Test1	11
00000122.tmp	Test2	22
00000122.tmp	Test3	10
00000122.tmp	Test4	21
00000123.tmp	Test0	0
00000123.tmp	Test1	7
00000123.tmp	Test2	14
00000123.tmp	Test3	21
00000123.tmp	Test4	4
00000124.tmp	Test0	0
00000124.tmp	Test1	1
00000124.tmp	Test2	2
00000124.tmp	Test3	3
00000124.tmp	Test4	4
00000125.tmp	Test0	0
00000125.tmp	Test1	7
00000125.tmp	Test2	14
00000125.tmp	Test3	2
00000125.tmp	Test4	9
00000126.tmp	Test0	0
00000126.tmp	Test1	1
00000126.tmp	Test2	2
00000126.tmp	Test3	0
00000126.tmp	Test4	1
00000127.tmp	Test0	0
00000127.tmp	Test1	0
00000127.tmp	Test2	0
00000127.tmp	Test3	0
00000127.tmp	Test4	0
00000128.tmp	Test0	0
00000128.tmp	Test1	7
00000128.tmp	Test2	2
00000128.tmp	Test3	9
00000128.tmp	Test4	4
00000129.tmp	Test0	0
00000129.tmp	Test1	2
00000129.tmp	Test2	4
00000129.tmp	Test3	6
00000129.tmp	Test4	0
00000130.tmp	Test0	0
00000130.tmp	Test1	13
00000130.tmp	Test2	11
00000130.tmp	Test3	9
00000130.tmp	Test4	7
00000131.tmp	Test0	0
00000131.tmp	Test1	11
00000131.tmp	Test2	2
00000131.tmp	Test3	13
00000131.tmp	Test4	4
00000132.tmp	Test0	0
00000132.tmp	Test1	7
00000132.tmp	Test2	14
00000132.tmp	Test3	6
00000132.tmp	Test4	13
00000133.tmp	Test0	0
00000133.tmp	Test1	8
00000133.tmp	Test2	3
00000133.tmp	Test3	11
00000133.tmp	Test4	6
00000134.tmp	Test0	0
00000134.tmp	Test1	16
00000134.tmp	Test2	6
00000134.tmp	Test3	22
00000134.tmp	Test4	12
00000135.tmp	Test0	0
00000135.tmp	Test1	0
00000135.tmp	Test2	0
00000135.tmp	Test3	0
00000135.tmp	Test4	0
00000136.tmp	Test0	0
00000136.tmp	Test1	24
00000136.tmp	Test2	23
00000136.tmp	Test3	22
00000136.tmp	Test4	21
00000137.tmp	Test0	0
00000137.tmp	Test1	14
00000137.tmp	Test2	3
00000137.tmp	Test3	17
00000137.tmp	Test4	6
00000138.tmp	Test0	0
00000138.tmp	Test1	3
00000138.tmp	Test2	6
00000138.tmp	Test3	9
00000138.tmp	Test4	12
00000139.tmp	Test0	0
00000139.tmp	Test1	7
00000139.tmp	Test2	14
00000139.tmp	Test3	0
00000139.tmp	Test4	7
00000140.tmp	Test0	0
00000140.tmp	Test1	15
00000140.tmp	Test2	4
00000140.tmp	Test3	19
00000140.tmp	Test4	8
00000141.tmp	Test0	0
00000141.tmp	Test1	1
00000141.tmp	Test2	2
00000141.tmp	Test3	3
00000141.tmp	Test4	4
00000142.tmp	Test0	0
00000142.tmp	Test1	10
00000142.tmp	Test2	3
00000142.tmp	Test3	13
00000142.tmp	Test4	6
00000143.tmp	Test0	0
00000143.tmp	Test1	16
00000143.tmp	Test2	12
00000143.tmp	Test3	8
00000143.tmp	Test4	4
00000144.tmp	Test0	0
00000144.tmp	Test1	5
00000144.tmp	Test2	10
00000144.tmp	Test3	0
00000144.tmp	Test4	5
00000145.tmp	Test0	0
00000145.tmp	Test1	2
00000145.tmp	Test2	1
00000145.tmp	Test3	0
00000145.tmp	Test4	2
00000146.tmp	Test0	0
00000146.tmp	Test1	7
00000146.tmp	Test2	14
00000146.tmp	Test3	3
00000146.tmp	Test4	10
00000147.tmp	Test0	0
00000147.tmp	Test1	13
00000147.tmp	Test2	26
00000147.tmp	Test3	12
00000147.tmp	Test4	25
00000148.tmp	Test0	0
00000148.tmp	Test1	19
00000148.tmp	Test2	14
00000148.tmp	Test3	9
00000148.tmp	Test4	4
00000149.tmp	Test0	0
00000149.tmp	Test1	8
00000149.tmp	Test2	2
00000149.tmp	Test3	10
00000149.tmp	Test4	4
00000150.tmp	Test0	0
00000150.tmp	Test1	3
00000150.tmp	Test2	6
00000150.tmp	Test3	9
00000150.tmp	Test4	0
00000151.tmp	Test0	0
00000151.tmp	Test1	4
00000151.tmp	Test2	2
00000151.tmp	Test3	0
00000151.tmp	Test4	4
00000152.tmp	Test0	0
00000152.tmp	Test1	6
00000152.tmp	Test2	12
00000152.tmp	Test3	18
00000152.tmp	Test4	24
00000153.tmp	Test0	0
00000153.tmp	Test1	4
00000153.tmp	Test2	8
00000153.tmp	Test3	12
00000153.tmp	Test4	16
00000154.tmp	Test0	0
00000154.tmp	Test1	5
00000154.tmp	Test2	1
00000154.tmp	Test3	6
00000154.tmp	Test4	2
00000155.tmp	Test0	0
00000155.tmp	Test1	1
00000155.tmp	Test2	0
00000155.tmp	Test3	1
00000155.tmp	Test4	0
00000156.tmp	Test0	0
00000156.tmp	Test1	0
00000156.tmp	Test2	0
00000156.tmp	Test3	0
00000156.tmp	Test4	0
00000157.tmp	Test0	0
00000157.tmp	Test1	4
00000157.tmp	Test2	8
00000157.tmp	Test3	12
00000157.tmp	Test4	16
00000158.tmp	Test0	0
00000158.tmp	Test1	7
00000158.tmp	Test2	14
00000158.tmp	Test3	5
00000158.tmp	Test4	12
00000159.tmp	Test0	0
00000159.tmp	Test1	4
00000159.tmp	Test2	0
00000159.tmp	Test3	4
00000159.tmp	Test4	0
00000160.tmp	Test0	0
00000160.tmp	Test1	20
00000160.tmp	Test2	17
00000160.tmp	Test3	14
00000160.tmp	Test4	11
00000161.tmp	Test0	0
00000161.tmp	Test1	6
00000161.tmp	Test2	12
00000161.tmp	Test3	3
00000161.tmp	Test4	9
00000162.tmp	Test0	0
00000162.tmp	Test1	16
00000162.tmp	Test2	15
00000162.tmp	Test3	14
00000162.tmp	Test4	13
00000163.tmp	Test0	0
00000163.tmp	Test1	0
00000163.tmp	Test2	0
00000163.tmp	Test3	0
00000163.tmp	Test4	0
00000164.tmp	Test0	0
00000164.tmp	Test1	11
00000164.tmp	Test2	0
00000164.tmp	Test3	11
00000164.tmp	Test4	0
00000165.tmp	Test0	0
00000165.tmp	Test1	2
00000165.tmp	Test2	4
00000165.tmp	Test3	6
00000165.tmp	Test4	8
00000166.tmp	Test0	0
00000166.tmp	Test1	5
00000166.tmp	Test2	10
00000166.tmp	Test3	0
00000166.tmp	Test4	5
00000167.tmp	Test0	0
00000167.tmp	Test1	12
00000167.tmp	Test2	9
00000167.tmp	Test3	6
00000167.tmp	Test4	3
00000168.tmp	Test0	0
00000168.tmp	Test1	1
00000168.tmp	Test2	0
00000168.tmp	Test3	1
00000168.tmp	Test4	0
00000169.tmp	Test0	0
00000169.tmp	Test1	8
00000169.tmp	Test2	6
00000169.tmp	Test3	4
00000169.tmp	Test4	2
00000170.tmp	Test0	0
00000170.tmp	Test1	8
00000170.tmp	Test2	16
00000170.tmp	Test3	4
00000170.tmp	Test4	12
00000171.tmp	Test0	0
00000171.tmp	Test1	6
00000171.tmp	Test2	0
00000171.tmp	Test3	6
00000171.tmp	Test4	0
00000172.tmp	Test0	0
00000172.tmp	Test1	4
00000172.tmp	Test2	8
00000172.tmp	Test3	3
00000172.tmp	Test4	7
00000173.tmp	Test0	0
00000173.tmp	Test1	13
00000173.tmp	Test2	2
00000173.tmp	Test3	15
00000173.tmp	Test4	4
00000174.tmp	Test0	0
00000174.tmp	Test1	9
00000174.tmp	Test2	4
00000174.tmp	Test3	13
00000174.tmp	Test4	8
00000175.tmp	Test0	0
00000175.tmp	Test1	11
00000175.tmp	Test2	0
00000175.tmp	Test3	11
00000175.tmp	Test4	0
00000176.tmp	Test0	0
00000176.tmp	Test1	5
00000176.tmp	Test2	4
00000176.tmp	Test3	3
00000176.tmp	Test4	2
00000177.tmp	Test0	0
00000177.tmp	Test1	3
00000177.tmp	Test2	6
00000177.tmp	Test3	9
00000177.tmp	Test4	1
00000178.tmp	Test0	0
00000178.tmp	Test1	9
00000178.tmp	Test2	5
00000178.tmp	Test3	1
00000178.tmp	Test4	10
00000179.tmp	Test0	0
00000179.tmp	Test1	13
00000179.tmp	Test2	9
00000179.tmp	Test3	5
00000179.tmp	Test4	1
00000180.tmp	Test0	0
00000180.tmp	Test1	15
00000180.tmp	Test2	8
00000180.tmp	Test3	1
00000180.tmp	Test4	16
00000181.tmp	Test0	0
00000181.tmp	Test1	2
00000181.tmp	Test2	4
00000181.tmp	Test3	6
00000181.tmp	Test4	8
00000182.tmp	Test0	0
00000182.tmp	Test1	2
00000182.tmp	Test2	4
00000182.tmp	Test3	6
00000182.tmp	Test4	8
00000183.tmp	Test0	0
00000183.tmp	Test1	12
00000183.tmp	Test2	24
00000183.tmp	Test3	9
00000183.tmp	Test4	21
00000184.tmp	Test0	0
00000184.tmp	Test1	16
00000184.tmp	Test2	10
00000184.tmp	Test3	4
00000184.tmp	Test4	20
00000185.tmp	Test0	0
00000185.tmp	Test1	2
00000185.tmp	Test2	4
00000185.tmp	Test3	6
00000185.tmp	Test4	8
00000186.tmp	Test0	0
00000186.tmp	Test1	0
00000186.tmp	Test2	0
00000186.tmp	Test3	0
00000186.tmp	Test4	0
00000187.tmp	Test0	0
00000187.tmp	Test1	13
00000187.tmp	Test2	2
00000187.tmp	Test3	15
00000187.tmp	Test4	4
00000188.tmp	Test0	0
00000188.tmp	Test1	1
00000188.tmp	Test2	2
00000188.tmp	Test3	0
00000188.tmp	Test4	1
00000189.tmp	Test0	0
00000189.tmp	Test1	4
00000189.tmp	Test2	8
00000189.tmp	Test3	12
00000189.tmp	Test4	3
00000190.tmp	Test0	0
00000190.tmp	Test1	1
00000190.tmp	Test2	0
00000190.tmp	Test3	1
00000190.tmp	Test4	0
00000191.tmp	Test0	0
00000191.tmp	Test1	18
00000191.tmp	Test2	16
00000191.tmp	Test3	14
00000191.tmp	Test4	12
00000192.tmp	Test0	0
00000192.tmp	Test1	15
00000192.tmp	Test2	12
00000192.tmp	Test3	9
00000192.tmp	Test4	6
00000193.tmp	Test0	0
00000193.tmp	Test1	20
00000193.tmp	Test2	15
00000193.tmp	Test3	10
00000193.tmp	Test4	5
00000194.tmp	Test0	0
00000194.tmp	Test1	15
00000194.tmp	Test2	6
00000194.tmp	Test3	21
00000194.tmp	Test4	12
00000195.tmp	Test0	0
00000195.tmp	Test1	6
00000195.tmp	Test2	12
00000195.tmp	Test3	3
00000195.tmp	Test4	9
00000196.tmp	Test0	0
00000196.tmp	Test1	8
00000196.tmp	Test2	16
00000196.tmp	Test3	5
00000196.tmp	Test4	13
00000197.tmp	Test0	0
00000197.tmp	Test1	4
00000197.tmp	Test2	8
00000197.tmp	Test3	3
00000197.tmp	Test4	7
00000198.tmp	Test0	0
00000198.tmp	Test1	5
00000198.tmp	Test2	10
00000198.tmp	Test3	15
00000198.tmp	Test4	3
00000199.tmp	Test0	0
00000199.tmp	Test1	18
00000199.tmp	Test2	11
00000199.tmp	Test3	4
00000199.tmp	Test4	22
00000200.tmp	Test0	0
00000200.tmp	Test1	24
00000200.tmp	Test2	20
