localfile	url	serverversion	size	downloaddate	lastmoddate
00000026.tmp	http://www.domain2.tl0/page5.html	SuperServer/3.0	5965	2008-01-01	2007-12-06
00000027.tmp	http://www.domain2.tl0/page6.html	SuperServer/3.0	14733	2008-01-01	2007-12-22
00000028.tmp	http://www.domain2.tl0/page7.html	SuperServer/3.0	12919	2008-01-01	2007-12-08
00000029.tmp	http://www.domain2.tl0/page8.html	SuperServer/3.0	14292	2008-01-01	2007-12-17
00000030.tmp	http://www.domain2.tl0/page9.html	SuperServer/3.0	4112	2008-01-01	2007-12-16
00000031.tmp	http://www.domain3.tl0/page0.html	SomeServer/1.0	185	2008-01-01	2007-12-23
00000032.tmp	http://www.domain3.tl0/page1.html	SomeServer/1.0	13304	2008-01-01	2007-12-21
00000033.tmp	http://www.domain3.tl0/page2.html	SomeServer/1.0	7828	2008-01-01	2007-12-17
00000034.tmp	http://www.domain3.tl0/page3.html	SomeServer/1.0	936	2008-01-01	2007-12-25
00000035.tmp	http://www.domain3.tl0/page4.html	SomeServer/1.0	3077	2008-01-01	2007-12-15
00000036.tmp	http://www.domain3.tl0/page5.html	SomeServer/1.0	5416	2008-01-01	2007-12-11
00000037.tmp	http://www.domain3.tl0/page6.html	SomeServer/1.0	9390	2008-01-01	2007-12-18
00000038.tmp	http://www.domain3.tl0/page7.html	SomeServer/1.0	516	2008-01-01	2007-12-08
00000039.tmp	http://www.domain3.tl0/page8.html	SomeServer/1.0	8809	2008-01-01	2007-12-25
00000040.tmp	http://www.domain3.tl0/page9.html	SomeServer/1.0	11977	2008-01-01	2007-12-24
00000041.tmp	http://www.domain4.tl0/page0.html	SomeServer/2.0	12642	2008-01-01	2007-12-20
00000042.tmp	http://www.domain4.tl0/page1.html	SomeServer/2.0	348	2008-01-01	2007-12-02
00000043.tmp	http://www.domain4.tl0/page2.html	SomeServer/2.0	3818	2008-01-01	2007-12-04
00000044.tmp	http://www.domain4.tl0/page3.html	SomeServer/2.0	5232	2008-01-01	2007-12-03
00000045.tmp	http://www.domain4.tl0/page4.html	SomeServer/2.0	7958	2008-01-01	2007-12-06
00000046.tmp	http://www.domain4.tl0/page5.html	SomeServer/2.0	10703	2008-01-01	2007-12-14
00000047.tmp	http://www.domain4.tl0/page6.html	SomeServer/2.0	7159	2008-01-01	2007-12-02
00000048.tmp	http://www.domain4.tl0/page7.html	SomeServer/2.0	6372	2008-01-01	2007-12-07
00000049.tmp	http://www.domain4.tl0/page8.html	SomeServer/2.0	13508	2008-01-01	2007-12-15
00000050.tmp	http://www.domain4.tl0/page9.html	SomeServer/2.0	9124	2008-01-01	2007-12-24
00000051.tmp	http://www.domain0.tl1/page0.html	SomeServer/1.0	366	2008-01-01	2007-12-05
00000052.tmp	http://www.domain0.tl1/page1.html	SomeServer/1.0	2487	2008-01-01	2007-12-21
00000053.tmp	http://www.domain0.tl1/page2.html	SomeServer/1.0	8216	2008-01-01	2007-12-07
00000054.tmp	http://www.domain0.tl1/page3.html	SomeServer/1.0	11988	2008-01-01	2007-12-15
00000055.tmp	http://www.domain0.tl1/page4.html	SomeServer/1.0	9763	2008-01-01	2007-12-12
00000056.tmp	http://www.domain0.tl1/page5.html	SomeServer/1.0	4886	2008-01-01	2007-12-19
00000057.tmp	http://www.domain0.tl1/page6.html	SomeServer/1.0	4549	2008-01-01	2007-12-28
00000058.tmp	http://www.domain0.tl1/page7.html	SomeServer/1.0	4665	2008-01-01	2007-12-25
00000059.tmp	http://www.domain0.tl1/page8.html	SomeServer/1.0	14096	2008-01-01	2007-12-22
00000060.tmp	http://www.domain0.tl1/page9.html	SomeServer/1.0	3860	2008-01-01	2007-12-02
00000061.tmp	http://www.domain1.tl1/page0.html	SomeServer/2.0	664	2008-01-01	2007-12-24
00000062.tmp	http://www.domain1.tl1/page1.html	SomeServer/2.0	8597	2008-01-01	2007-12-06
00000063.tmp	http://www.domain1.tl1/page2.html	SomeServer/2.0	14610	2008-01-01	2007-12-21
00000064.tmp	http://www.domain1.tl1/page3.html	SomeServer/2.0	5732	2008-01-01	2007-12-11
00000065.tmp	http://www.domain1.tl1/page4.html	SomeServer/2.0	10145	2008-01-01	2007-12-13
00000066.tmp	http://www.domain1.tl1/page5.html	SomeServer/2.0	1656	2008-01-01	2007-12-19
00000067.tmp	http://www.domain1.tl1/page6.html	SomeServer/2.0	7547	2008-01-01	2007-12-10
00000068.tmp	http://www.domain1.tl1/page7.html	SomeServer/2.0	13506	2008-01-01	2007-12-02
00000069.tmp	http://www.domain1.tl1/page8.html	SomeServer/2.0	4983	2008-01-01	2007-12-28
00000070.tmp	http://www.domain1.tl1/page9.html	SomeServer/2.0	5152	2008-01-01	2007-12-07
00000071.tmp	http://www.domain2.tl1/page0.html	SuperServer/3.0	12582	2008-01-01	2007-12-27
00000072.tmp	http://www.domain2.tl1/page1.html	SuperServer/3.0	13248	2008-01-01	2007-12-20
00000073.tmp	http://www.domain2.tl1/page2.html	SuperServer/3.0	14785	2008-01-01	2007-12-08
00000074.tmp	http://www.domain2.tl1/page3.html	SuperServer/3.0	1361	2008-01-01	2007-12-06
00000075.tmp	http://www.domain2.tl1/page4.html	SuperServer/3.0	3273	2008-01-01	2007-12-22
00000076.tmp	http://www.domain2.tl1/page5.html	SuperServer/3.0	12633	2008-01-01	2007-12-11
00000077.tmp	http://www.domain2.tl1/page6.html	SuperServer/3.0	4439	2008-01-01	2007-12-25
00000078.tmp	http://www.domain2.tl1/page7.html	SuperServer/3.0	14320	2008-01-01	2007-12-25
00000079.tmp	http://www.domain2.tl1/page8.html	SuperServer/3.0	8312	2008-01-01	2007-12-04
00000080.tmp	http://www.domain2.tl1/page9.html	SuperServer/3.0	1190	2008-01-01	2007-12-25
00000081.tmp	http://www.domain3.tl1/page0.html	SomeServer/1.0	12445	2008-01-01	2007-12-11
00000082.tmp	http://www.domain3.tl1/page1.html	SomeServer/1.0	11751	2008-01-01	2007-12-12
00000083.tmp	http://www.domain3.tl1/page2.html	SomeServer/1.0	3433	2008-01-01	2007-12-04
00000084.tmp	http://www.domain3.tl1/page3.html	SomeServer/1.0	13373	2008-01-01	2007-12-17
00000085.tmp	http://www.domain3.tl1/page4.html	SomeServer/1.0	6921	2008-01-01	2007-12-09
00000086.tmp	http://www.domain3.tl1/page5.html	SomeServer/1.0	12434	2008-01-01	2007-12-02
00000087.tmp	http://www.domain3.tl1/page6.html	SomeServer/1.0	1466	2008-01-01	2007-12-05
00000088.tmp	http://www.domain3.tl1/page7.html	SomeServer/1.0	696	2008-01-01	2007-12-08
00000089.tmp	http://www.domain3.tl1/page8.html	SomeServer/1.0	6373	2008-01-01	2007-12-05
00000090.tmp	http://www.domain3.tl1/page9.html	SomeServer/1.0	3697	2008-01-01	2007-12-22
00000091.tmp	http://www.domain4.tl1/page0.html	SomeServer/2.0	13671	2008-01-01	2007-12-12
00000092.tmp	http://www.domain4.tl1/page1.html	SomeServer/2.0	13648	2008-01-01	2007-12-09
00000093.tmp	http://www.domain4.tl1/page2.html	SomeServer/2.0	7207	2008-01-01	2007-12-04
00000094.tmp	http://www.domain4.tl1/page3.html	SomeServer/2.0	690	2008-01-01	2007-12-02
00000095.tmp	http://www.domain4.tl1/page4.html	SomeServer/2.0	4503	2008-01-01	2007-12-18
00000096.tmp	http://www.domain4.tl1/page5.html	SomeServer/2.0	4768	2008-01-01	2007-12-03
00000097.tmp	http://www.domain4.tl1/page6.html	SomeServer/2.0	14551	2008-01-01	2007-12-28
00000098.tmp	http://www.domain4.tl1/page7.html	SomeServer/2.0	3306	2008-01-01	2007-12-18
00000099.tmp	http://www.domain4.tl1/page8.html	SomeServer/2.0	8189	2008-01-01	2007-12-20
00000100.tmp	http://www.domain4.tl1/page9.html	SomeServer/2.0	3960	2008-01-01	2007-12-16
00000101.tmp	http://www.domain0.tl2/page0.html	SomeServer/1.0	3771	2008-01-01	2007-12-04
00000102.tmp	http://www.domain0.tl2/page1.html	SomeServer/1.0	14753	2008-01-01	2007-12-14
00000103.tmp	http://www.domain0.tl2/page2.html	SomeServer/1.0	9688	2008-01-01	2007-12-27
00000104.tmp	http://www.domain0.tl2/page3.html	SomeServer/1.0	4671	2008-01-01	2007-12-10
00000105.tmp	http://www.domain0.tl2/page4.html	SomeServer/1.0	12723	2008-01-01	2007-12-26
00000106.tmp	http://www.domain0.tl2/page5.html	SomeServer/1.0	5081	2008-01-01	2007-12-16
00000107.tmp	http://www.domain0.tl2/page6.html	SomeServer/1.0	8980	2008-01-01	2007-12-08
00000108.tmp	http://www.domain0.tl2/page7.html	SomeServer/1.0	3732	2008-01-01	2007-12-03
00000109.tmp	http://www.domain0.tl2/page8.html	SomeServer/1.0	1156	2008-01-01	2007-12-04
00000110.tmp	http://www.domain0.tl2/page9.html	SomeServer/1.0	4433	2008-01-01	2007-12-23
00000111.tmp	http://www.domain1.tl2/page0.html	SomeServer/2.0	12954	2008-01-01	2007-12-06
00000112.tmp	http://www.domain1.tl2/page1.html	SomeServer/2.0	11946	2008-01-01	2007-12-04
00000113.tmp	http://www.domain1.tl2/page2.html	SomeServer/2.0	2681	2008-01-01	2007-12-22
00000114.tmp	http://www.domain1.tl2/page3.html	SomeServer/2.0	12341	2008-01-01	2007-12-10
00000115.tmp	http://www.domain1.tl2/page4.html	SomeServer/2.0	7764	2008-01-01	2007-12-26
00000116.tmp	http://www.domain1.tl2/page5.html	SomeServer/2.0	13417	2008-01-01	2007-12-05
00000117.tmp	http://www.domain1.tl2/page6.html	SomeServer/2.0	573	2008-01-01	2007-12-10
00000118.tmp	http://www.domain1.tl2/page7.html	SomeServer/2.0	12078	2008-01-01	2007-12-26
00000119.tmp	http://www.domain1.tl2/page8.html	SomeServer/2.0	11218	2008-01-01	2007-12-20
00000120.tmp	http://www.domain1.tl2/page9.html	SomeServer/2.0	6546	2008-01-01	2007-12-06
00000121.tmp	http://www.domain2.tl2/page0.html	SuperServer/3.0	10050	2008-01-01	2007-12-08
00000122.tmp	http://www.domain2.tl2/page1.html	SuperServer/3.0	14455	2008-01-01	2007-12-23
00000123.tmp	http://www.domain2.tl2/page2.html	SuperServer/3.0	8167	2008-01-01	2007-12-24
00000124.tmp	http://www.domain2.tl2/page3.html	SuperServer/3.0	5996	2008-01-01	2007-12-11
00000125.tmp	http://www.domain2.tl2/page4.html	SuperServer/3.0	463	2008-01-01	2007-12-19
00000126.tmp	http://www.domain2.tl2/page5.html	SuperServer/3.0	8602	2008-01-01	2007-12-03
00000127.tmp	http://www.domain2.tl2/page6.html	SuperServer/3.0	2160	2008-01-01	2007-12-05
00000128.tmp	http://www.domain2.tl2/page7.html	SuperServer/3.0	12451	2008-01-01	2007-12-12
00000129.tmp	http://www.domain2.tl2/page8.html	SuperServer/3.0	9226	2008-01-01	2007-12-08
00000130.tmp	http://www.domain2.tl2/page9.html	SuperServer/3.0	7978	2008-01-01	2007-12-15
00000131.tmp	http://www.domain3.tl2/page0.html	SomeServer/1.0	6631	2008-01-01	2007-12-20
00000132.tmp	http://www.domain3.tl2/page1.html	SomeServer/1.0	3652	2008-01-01	2007-12-15
00000133.tmp	http://www.domain3.tl2/page2.html	SomeServer/1.0	3453	2008-01-01	2007-12-13
00000134.tmp	http://www.domain3.tl2/page3.html	SomeServer/1.0	13614	2008-01-01	2007-12-26
00000135.tmp	http://www.domain3.tl2/page4.html	SomeServer/1.0	9732	2008-01-01	2007-12-03
00000136.tmp	http://www.domain3.tl2/page5.html	SomeServer/1.0	7724	2008-01-01	2007-12-25
00000137.tmp	http://www.domain3.tl2/page6.html	SomeServer/1.0	11514	2008-01-01	2007-12-25
00000138.tmp	http://www.domain3.tl2/page7.html	SomeServer/1.0	10419	2008-01-01	2007-12-24
00000139.tmp	http://www.domain3.tl2/page8.html	SomeServer/1.0	10549	2008-01-01	2007-12-21
00000140.tmp	http://www.domain3.tl2/page9.html	SomeServer/1.0	12859	2008-01-01	2007-12-26
00000141.tmp	http://www.domain4.tl2/page0.html	SomeServer/2.0	8611	2008-01-01	2007-12-06
00000142.tmp	http://www.domain4.tl2/page1.html	SomeServer/2.0	3342	2008-01-01	2007-12-17
00000143.tmp	http://www.domain4.tl2/page2.html	SomeServer/2.0	876	2008-01-01	2007-12-20
00000144.tmp	http://www.domain4.tl2/page3.html	SomeServer/2.0	5285	2008-01-01	2007-12-15
00000145.tmp	http://www.domain4.tl2/page4.html	SomeServer/2.0	10976	2008-01-01	2007-12-03
00000146.tmp	http://www.domain4.tl2/page5.html	SomeServer/2.0	12139	2008-01-01	2007-12-18
00000147.tmp	http://www.domain4.tl2/page6.html	SomeServer/2.0	13702	2008-01-01	2007-12-27
00000148.tmp	http://www.domain4.tl2/page7.html	SomeServer/2.0	11659	2008-01-01	2007-12-24
00000149.tmp	http://www.domain4.tl2/page8.html	SomeServer/2.0	10536	2008-01-01	2007-12-14
00000150.tmp	http://www.domain4.tl2/page9.html	SomeServer/2.0	14571	2008-01-01	2007-12-12
00000151.tmp	http://www.domain0.tl3/page0.html	SomeServer/1.0	6550	2008-01-01	2007-12-06
00000152.tmp	http://www.domain0.tl3/page1.html	SomeServer/1.0	1982	2008-01-01	2007-12-26
00000153.tmp	http://www.domain0.tl3/page2.html	SomeServer/1.0	1876	2008-01-01	2007-12-18
00000154.tmp	http://www.domain0.tl3/page3.html	SomeServer/1.0	1859	2008-01-01	2007-12-09
00000155.tmp	http://www.domain0.tl3/page4.html	SomeServer/1.0	11269	2008-01-01	2007-12-02
00000156.tmp	http://www.domain0.tl3/page5.html	SomeServer/1.0	6638	2008-01-01	2007-12-02
00000157.tmp	http://www.domain0.tl3/page6.html	SomeServer/1.0	9124	2008-01-01	2007-12-24
00000158.tmp	http://www.domain0.tl3/page7.html	SomeServer/1.0	4343	2008-01-01	2007-12-16
00000159.tmp	http://www.domain0.tl3/page8.html	SomeServer/1.0	8828	2008-01-01	2007-12-08
00000160.tmp	http://www.domain0.tl3/page9.html	SomeServer/1.0	11888	2008-01-01	2007-12-23
00000161.tmp	http://www.domain1.tl3/page0.html	SomeServer/2.0	8226	2008-01-01	2007-12-15
00000162.tmp	http://www.domain1.tl3/page1.html	SomeServer/2.0	11559	2008-01-01	2007-12-17
00000163.tmp	http://www.domain1.tl3/page2.html	SomeServer/2.0	4332	2008-01-01	2007-12-04
00000164.tmp	http://www.domain1.tl3/page3.html	SomeServer/2.0	1859	2008-01-01	2007-12-22
00000165.tmp	http://www.domain1.tl3/page4.html	SomeServer/2.0	14478	2008-01-01	2007-12-22
00000166.tmp	http://www.domain1.tl3/page5.html	SomeServer/2.0	2135	2008-01-01	2007-12-15
00000167.tmp	http://www.domain1.tl3/page6.html	SomeServer/2.0	4737	2008-01-01	2007-12-15
00000168.tmp	http://www.domain1.tl3/page7.html	SomeServer/2.0	7973	2008-01-01	2007-12-02
00000169.tmp	http://www.domain1.tl3/page8.html	SomeServer/2.0	6798	2008-01-01	2007-12-10
00000170.tmp	http://www.domain1.tl3/page9.html	SomeServer/2.0	11768	2008-01-01	2007-12-20
00000171.tmp	http://www.domain2.tl3/page0.html	SuperServer/3.0	9750	2008-01-01	2007-12-12
00000172.tmp	http://www.domain2.tl3/page1.html	SuperServer/3.0	157	2008-01-01	2007-12-09
00000173.tmp	http://www.domain2.tl3/page2.html	SuperServer/3.0	13237	2008-01-01	2007-12-24
00000174.tmp	http://www.domain2.tl3/page3.html	SuperServer/3.0	14807	2008-01-01	2007-12-14
00000175.tmp	http://www.domain2.tl3/page4.html	SuperServer/3.0	6193	2008-01-01	2007-12-22
00000176.tmp	http://www.domain2.tl3/page5.html	SuperServer/3.0	4649	2008-01-01	2007-12-06
00000177.tmp	http://www.domain2.tl3/page6.html	SuperServer/3.0	8011	2008-01-01	2007-12-11
00000178.tmp	http://www.domain2.tl3/page7.html	SuperServer/3.0	5898	2008-01-01	2007-12-13
00000179.tmp	http://www.domain2.tl3/page8.html	SuperServer/3.0	12933	2008-01-01	2007-12-17
00000180.tmp	http://www.domain2.tl3/page9.html	SuperServer/3.0	13479	2008-01-01	2007-12-22
00000181.tmp	http://www.domain3.tl3/page0.html	SomeServer/1.0	11212	2008-01-01	2007-12-19
00000182.tmp	http://www.domain3.tl3/page1.html	SomeServer/1.0	9482	2008-01-01	2007-12-12
00000183.tmp	http://www.domain3.tl3/page2.html	SomeServer/1.0	9543	2008-01-01	2007-12-27
00000184.tmp	http://www.domain3.tl3/page3.html	SomeServer/1.0	12710	2008-01-01	2007-12-22
00000185.tmp	http://www.domain3.tl3/page4.html	SomeServer/1.0	9121	2008-01-01	2007-12-11
00000186.tmp	http://www.domain3.tl3/page5.html	SomeServer/1.0	10650	2008-01-01	2007-12-25
00000187.tmp	http://www.domain3.tl3/page6.html	SomeServer/1.0	2365	2008-01-01	2007-12-24
00000188.tmp	http://www.domain3.tl3/page7.html	SomeServer/1.0	7060	2008-01-01	2007-12-03
00000189.tmp	http://www.domain3.tl3/page8.html	SomeServer/1.0	11197	2008-01-01	2007-12-13
00000190.tmp	http://www.domain3.tl3/page9.html	SomeServer/1.0	9887	2008-01-01	2007-12-02
00000191.tmp	http://www.domain4.tl3/page0.html	SomeServer/2.0	14198	2008-01-01	2007-12-20
00000192.tmp	http://www.domain4.tl3/page1.html	SomeServer/2.0	10365	2008-01-01	2007-12-18
00000193.tmp	http://www.domain4.tl3/page2.html	SomeServer/2.0	3195	2008-01-01	2007-12-25
00000194.tmp	http://www.domain4.tl3/page3.html	SomeServer/2.0	1215	2008-01-01	2007-12-24
00000195.tmp	http://www.domain4.tl3/page4.html	SomeServer/2.0	5586	2008-01-01	2007-12-15
00000196.tmp	http://www.domain4.tl3/page5.html	SomeServer/2.0	2611	2008-01-01	2007-12-19
00000197.tmp	http://www.domain4.tl3/page6.html	SomeServer/2.0	12244	2008-01-01	2007-12-09
00000198.tmp	http://www.domain4.tl3/page7.html	SomeServer/2.0	3558	2008-01-01	2007-12-17
00000199.tmp	http://www.domain4.tl3/page8.html	SomeServer/2.0	11868	2008-01-01	2007-12-25
00000200.tmp	http://www.domain4.tl3/page9.html	SomeServer/2.0	3412	2008-01-01	2007-12-28
00000201.tmp	http://www.domain0.tl4/page0.html	SomeServer/1.0	12673	2008-01-01	2007-12-02
00000202.tmp	http://www.domain0.tl4/page1.html	SomeServer/1.0	9375	2008-01-01	2007-12-10
00000203.tmp	http://www.domain0.tl4/page2.html	SomeServer/1.0	11448	2008-01-01	2007-12-23
00000204.tmp	http://www.domain0.tl4/page3.html	SomeServer/1.0	9426	2008-01-01	2007-12-06
00000205.tmp	http://www.domain0.tl4/page4.html	SomeServer/1.0	6709	2008-01-01	2007-12-26
00000206.tmp	http://www.domain0.tl4/page5.html	SomeServer/1.0	9133	2008-01-01	2007-12-09
00000207.tmp	http://www.domain0.tl4/page6.html	SomeServer/1.0	2165	2008-01-01	2007-12-05
00000208.tmp	http://www.domain0.tl4/page7.html	SomeServer/1.0	5480	2008-01-01	2007-12-22
00000209.tmp	http://www.domain0.tl4/page8.html	SomeServer/1.0	10801	2008-01-01	2007-12-21
00000210.tmp	http://www.domain0.tl4/page9.html	SomeServer/1.0	1685	2008-01-01	2007-12-12
00000211.tmp	http://www.domain1.tl4/page0.html	SomeServer/2.0	1589	2008-01-01	2007-12-07
00000212.tmp	http://www.domain1.tl4/page1.html	SomeServer/2.0	9003	2008-01-01	2007-12-25
00000213.tmp	http://www.domain1.tl4/page2.html	SomeServer/2.0	617	2008-01-01	2007-12-21
00000214.tmp	http://www.domain1.tl4/page3.html	SomeServer/2.0	14466	2008-01-01	2007-12-18
00000215.tmp	http://www.domain1.tl4/page4.html	SomeServer/2.0	12585	2008-01-01	2007-12-05
00000216.tmp	http://www.domain1.tl4/page5.html	SomeServer/2.0	1519	2008-01-01	2007-12-12
00000217.tmp	http://www.domain1.tl4/page6.html	SomeServer/2.0	5731	2008-01-01	2007-12-06
00000218.tmp	http://www.domain1.tl4/page7.html	SomeServer/2.0	12321	2008-01-01	2007-12-14
00000219.tmp	http://www.domain1.tl4/page8.html	SomeServer/2.0	3257	2008-01-01	2007-12-21
00000220.tmp	http://www.domain1.tl4/page9.html	SomeServer/2.0	8945	2008-01-01	2007-12-26
00000221.tmp	http://www.domain2.tl4/page0.html	SuperServer/3.0	788	2008-01-01	2007-12-23
00000222.tmp	http://www.domain2.tl4/page1.html	SuperServer/3.0	4861	2008-01-01	2007-12-12
00000223.tmp	http://www.domain2.tl4/page2.html	SuperServer/3.0	13791	2008-01-01	2007-12-12
00000224.tmp	http://www.domain2.tl4/page3.html	SuperServer/3.0	11403	2008-01-01	2007-12-06
00000225.tmp	http://www.domain2.tl4/page4.html	SuperServer/3.0	326	2008-01-01	2007-12-05
00000226.tmp	http://www.domain2.tl4/page5.html	SuperServer/3.0	951	2008-01-01	2007-12-12
00000227.tmp	http://www.domain2.tl4/page6.html	SuperServer/3.0	6997	2008-01-01	2007-12-24
00000228.tmp	http://www.domain2.tl4/page7.html	SuperServer/3.0	628	2008-01-01	2007-12-03
00000229.tmp	http://www.domain2.tl4/page8.html	SuperServer/3.0	737	2008-01-01	2007-12-09
00000230.tmp	http://www.domain2.tl4/page9.html	SuperServer/3.0	1456	2008-01-01	2007-12-02
00000231.tmp	http://www.domain3.tl4/page0.html	SomeServer/1.0	11195	2008-01-01	2007-12-20
00000232.tmp	http://www.domain3.tl4/page1.html	SomeServer/1.0	9979	2008-01-01	2007-12-12
00000233.tmp	http://www.domain3.tl4/page2.html	SomeServer/1.0	14547	2008-01-01	2007-12-19
00000234.tmp	http://www.domain3.tl4/page3.html	SomeServer/1.0	996	2008-01-01	2007-12-27
00000235.tmp	http://www.domain3.tl4/page4.html	SomeServer/1.0	5309	2008-01-01	2007-12-18
00000236.tmp	http://www.domain3.tl4/page5.html	SomeServer/1.0	7880	2008-01-01	2007-12-03
00000237.tmp	http://www.domain3.tl4/page6.html	SomeServer/1.0	6248	2008-01-01	2007-12-07
00000238.tmp	http://www.domain3.tl4/page7.html	SomeServer/1.0	6419	2008-01-01	2007-12-19
00000239.tmp	http://www.domain3.tl4/page8.html	SomeServer/1.0	11175	2008-01-01	2007-12-21
00000240.tmp	http://www.domain3.tl4/page9.html	SomeServer/1.0	3848	2008-01-01	2007-12-28
00000241.tmp	http://www.domain4.tl4/page0.html	SomeServer/2.0	13788	2008-01-01	2007-12-25
00000242.tmp	http://www.domain4.tl4/page1.html	SomeServer/2.0	886	2008-01-01	2007-12-04
00000243.tmp	http://www.domain4.tl4/page2.html	SomeServer/2.0	7091	2008-01-01	2007-12-11
00000244.tmp	http://www.domain4.tl4/page3.html	SomeServer/2.0	697	2008-01-01	2007-12-16
00000245.tmp	http://www.domain4.tl4/page4.html	SomeServer/2.0	2010	2008-01-01	2007-12-12
00000246.tmp	http://www.domain4.tl4/page5.html	SomeServer/2.0	13247	2008-01-01	2007-12-02
00000247.tmp	http://www.domain4.tl4/page6.html	SomeServer/2.0	1446	2008-01-01	2007-12-23
00000248.tmp	http://www.domain4.tl4/page7.html	SomeServer/2.0	609	2008-01-01	2007-12-12
00000249.tmp	http://www.domain4.tl4/page8.html	SomeServer/2.0	4767	2008-01-01	2007-12-05
00000250.tmp	http://www.domain4.tl4/page9.html	SomeServer/2.0	12123	2008-01-01	2007-12-25
00000251.tmp	http://www.domain0.tl0/page0.html	SomeServer/1.0	12727	2008-02-01	2007-12-22
00000252.tmp	http://www.domain0.tl0/page1.html	SomeServer/1.0	7482	2008-02-01	2007-12-14
00000253.tmp	http://www.domain0.tl0/page2.html	SomeServer/1.0	11852	2008-02-01	2007-12-04
00000254.tmp	http://www.domain0.tl0/page3.html	SomeServer/1.0	5018	2008-02-01	2008-01-11
00000255.tmp	http://www.domain0.tl0/page4.html	SomeServer/1.0	14349	2008-02-01	2008-01-17
00000256.tmp	http://www.domain0.tl0/page5.html	SomeServer/1.0	3508	2008-02-01	2007-12-27
00000257.tmp	http://www.domain0.tl0/page6.html	SomeServer/1.0	6784	2008-02-01	2008-01-28
00000258.tmp	http://www.domain0.tl0/page7.html	SomeServer/1.0	12539	2008-02-01	2008-01-20
00000259.tmp	http://www.domain0.tl0/page8.html	SomeServer/1.0	13463	2008-02-01	2008-01-24
00000260.tmp	http://www.domain0.tl0/page9.html	SomeServer/1.0	6624	2008-02-01	2007-12-15
00000261.tmp	http://www.domain1.tl0/page0.html	SomeServer/2.0	3540	2008-02-01	2007-12-07
00000262.tmp	http://www.domain1.tl0/page1.html	SomeServer/2.0	4418	2008-02-01	2007-12-02
00000263.tmp	http://www.domain1.tl0/page2.html	SomeServer/2.0	1551	2008-02-01	2008-01-11
00000264.tmp	http://www.domain1.tl0/page3.html	SomeServer/2.0	749	2008-02-01	2008-01-24
00000265.tmp	http://www.domain1.tl0/page4.html	SomeServer/2.0	4773	2008-02-01	2008-01-10
00000266.tmp	http://www.domain1.tl0/page5.html	SomeServer/2.0	14053	2008-02-01	2007-12-13
00000267.tmp	http://www.domain1.tl0/page6.html	SomeServer/2.0	10088	2008-02-01	2007-12-10
00000268.tmp	http://www.domain1.tl0/page7.html	SomeServer/2.0	7566	2008-02-01	2008-01-16
